232,240
425,205
453,214
381,237
345,248
326,249
273,236
548,310
576,329
550,387
562,376
566,394
584,378
520,454
485,397
313,631
301,570
427,271
458,401
444,391
380,311
368,348
403,345
430,295
325,302
480,452
430,471
410,431
289,455
280,436
290,468
341,438
321,453
247,427
236,392
295,541
307,552
321,560
337,561
335,585
343,601
343,607
418,566
522,376
507,384
484,353
514,412
529,406
489,421
457,364
474,375
458,402
462,431
369,426
359,408
353,381
366,273
389,260
436,325
335,358
324,389
333,415
321,321
334,333
311,371
300,423
312,435
273,412
285,389
285,312
144,364
252,336
302,489
316,271
335,270
318,221
283,211
348,301
389,502
319,527
367,484
473,480
